,neg,neu,pos,compound,vader,txtblob,retweets,favorites
90,0.0,1.0,0.0,0.0,0,0.15000000000000002,0,0
91,0.0,1.0,0.0,0.0,0,0.0,0,1
92,0.0,1.0,0.0,0.0,0,0.0,0,0
93,0.0,1.0,0.0,0.0,0,0.0,0,0
94,0.0,1.0,0.0,0.0,0,0.0,0,0
95,0.0,1.0,0.0,0.0,0,0.0,0,0
96,0.0,1.0,0.0,0.0,0,0.15000000000000002,1,2
97,0.0,1.0,0.0,0.0,0,0.0,0,0
98,0.0,1.0,0.0,0.0,0,0.1,0,1
99,0.0,1.0,0.0,0.0,0,0.0,0,0
100,0.223,0.777,0.0,-0.3182,-1,0.0,0,0
101,0.0,1.0,0.0,0.0,0,0.1,0,0
102,0.0,0.903,0.097,0.4019,1,0.07500000000000001,0,0
103,0.0,0.811,0.189,0.68,1,0.0,4,16
104,0.0,1.0,0.0,0.0,0,0.1,0,1
