created_at,neg,neu,pos,compound,vader,txtblob,retweets,favorites,weighted_compound_0,score_0,weighted_compound_1,score_1,weighted_compound_2,score_2,weighted_compound_3,score_3
2020-05-08 08:50:05,0.0,0.923,0.077,0.128,1,0.25,0,0,0.14628571428571427,1.1428571428571428,0.020225108225108222,0.158008658008658,0.14628571428571427,1.1428571428571428,0.018285714285714284,0.14285714285714285
2020-05-08 09:00:36,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.015151515151515152,0.0,1.0,0.0,0.014285714285714285
2020-05-08 09:29:33,0.0,1.0,0.0,0.0,0,0.25,0,0,0.0,1.0,0.0,0.015151515151515152,0.0,1.0,0.0,0.014285714285714285
2020-05-08 09:32:50,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,1.0,0.0,0.015151515151515152,0.0,1.0,0.0,0.014285714285714285
2020-05-08 09:40:08,0.0,1.0,0.0,0.0,0,0.125,0,0,0.0,1.0142857142857142,0.0,0.029437229437229435,0.0,1.0142857142857142,0.0,0.014285714285714285
2020-05-08 09:41:02,0.0,1.0,0.0,0.0,0,0.125,0,0,0.0,1.0,0.0,0.015151515151515152,0.0,1.0,0.0,0.014285714285714285
2020-05-08 10:05:33,0.136,0.864,0.0,-0.296,-1,0.0,0,0,-0.296,1.0,-0.004484848484848485,0.015151515151515152,-0.296,1.0,-0.004228571428571428,0.014285714285714285
2020-05-08 10:07:28,0.128,0.872,0.0,-0.296,-1,0.0,0,0,-0.296,1.0,-0.004484848484848485,0.015151515151515152,-0.296,1.0,-0.004228571428571428,0.014285714285714285
2020-05-08 10:10:22,0.128,0.872,0.0,-0.296,-1,0.0,0,0,-0.296,1.0,-0.004484848484848485,0.015151515151515152,-0.296,1.0,-0.004228571428571428,0.014285714285714285
2020-05-08 10:11:33,0.0,1.0,0.0,0.0,0,0.11111111111111112,1,0,0.0,1.0,0.0,0.015151515151515152,0.0,1.0,0.0,0.014285714285714285
2020-05-08 10:13:21,0.104,0.896,0.0,-0.296,-1,0.0,0,0,-0.296,1.0,-0.004484848484848485,0.015151515151515152,-0.296,1.0,-0.004228571428571428,0.014285714285714285
2020-05-08 10:15:04,0.121,0.879,0.0,-0.296,-1,0.0,0,0,-0.296,1.0,-0.004484848484848485,0.015151515151515152,-0.296,1.0,-0.004228571428571428,0.014285714285714285
