,neg,neu,pos,compound,vader,txtblob,retweets,favorites
136,0.0,1.0,0.0,0.0,0,0.0,1,0
137,0.0,1.0,0.0,0.0,0,0.0,0,2
138,0.0,1.0,0.0,0.0,0,0.0,0,0
139,0.0,0.913,0.087,0.296,1,0.0,0,0
140,0.0,1.0,0.0,0.0,0,0.375,0,0
141,0.0,0.657,0.343,0.5719,1,0.0,1,0
142,0.0,1.0,0.0,0.0,0,0.0,0,0
143,0.0,1.0,0.0,0.0,0,0.0,0,0
144,0.0,0.882,0.118,0.4939,1,0.1375,0,0
145,0.0,1.0,0.0,0.0,0,0.0,0,0
146,0.0,0.833,0.167,0.25,1,0.0,0,0
147,0.104,0.896,0.0,-0.2732,-1,0.4,0,0
148,0.0,0.909,0.091,0.2023,1,0.125,2,1
149,0.0,1.0,0.0,0.0,0,0.25,0,2
150,0.0,1.0,0.0,0.0,0,0.0,0,0
151,0.0,1.0,0.0,0.0,0,0.4,0,0
152,0.0,1.0,0.0,0.0,0,0.0,2,4
153,0.0,1.0,0.0,0.0,0,0.0,0,1
154,0.0,1.0,0.0,0.0,0,0.0,0,0
155,0.0,0.598,0.402,0.5719,1,0.0,0,0
156,0.0,1.0,0.0,0.0,0,0.11666666666666665,0,1
157,0.0,0.913,0.087,0.296,1,0.0,0,0
158,0.0,1.0,0.0,0.0,0,0.0,0,0
159,0.0,0.517,0.483,0.9186,1,0.34848484848484845,0,0
160,0.0,0.598,0.402,0.5719,1,0.0,0,0
161,0.0,1.0,0.0,0.0,0,0.0,0,1
162,0.0,0.913,0.087,0.296,1,0.0,0,0
163,0.0,1.0,0.0,0.0,0,0.0,2,1
164,0.0,0.724,0.276,0.7269,1,0.25,0,0
165,0.0,0.851,0.149,0.2732,1,0.0,0,0
166,0.0,1.0,0.0,0.0,0,0.0,0,0
167,0.0,1.0,0.0,0.0,0,0.11666666666666665,0,0
168,0.0,1.0,0.0,0.0,0,0.11666666666666665,0,0
